192.168.10.8,Sat Dec 17 09:49:30 2022,1671263370075054929,Shutting down node.
192.168.10.8,Sat Dec 17 09:49:30 2022,1671263370076285153,node is requested to stop!
192.168.10.6,Sat Dec 17 09:49:31 2022,1671263371050510406,game_id when waiting 9
192.168.10.6,Sat Dec 17 09:51:52 2022,1671263512365430289,game_id when waiting 9
192.168.10.4,Sat Dec 17 09:51:54 2022,1671263514948375354,game_id when waiting 9
192.168.10.4,Sat Dec 17 09:51:56 2022,1671263516960394984,connecting started
192.168.10.4,Sat Dec 17 09:51:56 2022,1671263516961115490,game_id when checking connection 9
192.168.10.6,Sat Dec 17 09:51:57 2022,1671263517389259472,connecting started
192.168.10.6,Sat Dec 17 09:51:57 2022,1671263517390439680,game_id when checking connection 9
192.168.10.6,Sat Dec 17 09:51:57 2022,1671263517391923406,inbound_node_connected: 9576d5e83408bb8dd823e9b9892f110bde93bf1d4d50a0adc9066f772775fea7aa47aeb2fccd2b42ec445e8df9938d6d46a67f94977f3456ff80cf6e4e91c4a4
192.168.10.8,Sat Dec 17 09:51:57 2022,1671263517394105029,outbound_node_connected: 12ee6da2d503437959e0657a94668a01d70ec5547aba818737c296cf9e233e5fdb7956c4a8dfad6200025727b3ecbce12b1166b3ea3baba7f6b70f08373a7afa
192.168.10.4,Sat Dec 17 09:51:57 2022,1671263517394750788,inbound_node_connected: 9576d5e83408bb8dd823e9b9892f110bde93bf1d4d50a0adc9066f772775fea7aa47aeb2fccd2b42ec445e8df9938d6d46a67f94977f3456ff80cf6e4e91c4a4
192.168.10.8,Sat Dec 17 09:51:57 2022,1671263517396793742,outbound_node_connected: b55c1c118f6d7508e2c1d793b9fbd3a3a141986a3aa707c8452ade457c62c02e91515556a3b39e7a600ac0e9aa35b3eddd91f639ef050f24abbfc896e8075e87
192.168.10.8,Sat Dec 17 09:51:59 2022,1671263519401297165,Connecting message and IPs sent to nodes 1 and 2
192.168.10.8,Sat Dec 17 09:51:59 2022,1671263519403087508,game_id when checking connection 9
192.168.10.6,Sat Dec 17 09:51:59 2022,1671263519402832164,"Message from 192.168.10.8: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'connecting', 'game_id': 9}"
192.168.10.4,Sat Dec 17 09:51:59 2022,1671263519403287463,"Message from 192.168.10.8: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'connecting', 'game_id': 9}"
192.168.10.4,Sat Dec 17 09:51:59 2022,1671263519421320418,inbound_node_connected: 12ee6da2d503437959e0657a94668a01d70ec5547aba818737c296cf9e233e5fdb7956c4a8dfad6200025727b3ecbce12b1166b3ea3baba7f6b70f08373a7afa
192.168.10.6,Sat Dec 17 09:51:59 2022,1671263519429838927,outbound_node_connected: b55c1c118f6d7508e2c1d793b9fbd3a3a141986a3aa707c8452ade457c62c02e91515556a3b39e7a600ac0e9aa35b3eddd91f639ef050f24abbfc896e8075e87
192.168.10.8,Sat Dec 17 09:51:59 2022,1671263519435746212,"Message from 192.168.10.6: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 9}"
192.168.10.4,Sat Dec 17 09:51:59 2022,1671263519434657409,"Message from 192.168.10.6: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 9}"
192.168.10.8,Sat Dec 17 09:51:59 2022,1671263519436642682,informing server about two peers
192.168.10.4,Sat Dec 17 09:51:59 2022,1671263519436093222,informing server about two peers
192.168.10.8,Sat Dec 17 09:51:59 2022,1671263519437459197,Informing server about the succesful connection with 2 peers
192.168.10.4,Sat Dec 17 09:51:59 2022,1671263519437213316,Informing server about the succesful connection with 2 peers
192.168.10.6,Sat Dec 17 09:51:59 2022,1671263519444047133,"Message from 192.168.10.4: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 9}"
192.168.10.6,Sat Dec 17 09:51:59 2022,1671263519444851455,informing server about two peers
192.168.10.6,Sat Dec 17 09:51:59 2022,1671263519445608117,Informing server about the succesful connection with 2 peers
192.168.10.8,Sat Dec 17 09:51:59 2022,1671263519450643864,"Message from 192.168.10.4: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 9}"
192.168.10.8,Sat Dec 17 09:52:01 2022,1671263521506051857,"Message from 192.168.10.6: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'move', 'game_id': 9, 'state': {'sticks': [1, 1, 0, 1, 1, 1, 1, 0], 'players': ['192.168.10.6', '192.168.10.4', '192.168.10.8'], 'phase': 'playing', 'announcement': 'Player 1 picked 2 sticks.\n', 'player_in_turn': 2, 'winner': None, 'lost': [], 'turn_count': 1}}"
192.168.10.4,Sat Dec 17 09:52:01 2022,1671263521505390192,"Message from 192.168.10.6: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'move', 'game_id': 9, 'state': {'sticks': [1, 1, 0, 1, 1, 1, 1, 0], 'players': ['192.168.10.6', '192.168.10.4', '192.168.10.8'], 'phase': 'playing', 'announcement': 'Player 1 picked 2 sticks.\n', 'player_in_turn': 2, 'winner': None, 'lost': [], 'turn_count': 1}}"
192.168.10.8,Sat Dec 17 09:52:31 2022,1671263551508848925,"Message from 192.168.10.6: {'status': 'disconnect', 'state': 2}"
192.168.10.8,Sat Dec 17 09:52:31 2022,1671263551510866353,Time remaining in our alarm: 0.020585298538208008
192.168.10.8,Sat Dec 17 09:52:31 2022,1671263551533041143,disconnected ip is192.168.10.4
192.168.10.6,Sat Dec 17 09:52:31 2022,1671263551532690450,"Message from 192.168.10.8: {'status': 'acknowledge disconnect', 'state': 2}"
192.168.10.8,Sat Dec 17 09:52:31 2022,1671263551534882306,disconnected player is 2
192.168.10.6,Sat Dec 17 09:52:31 2022,1671263551535450655,disconnected ip is192.168.10.4
192.168.10.6,Sat Dec 17 09:52:31 2022,1671263551539709392,disconnected player is 2
